Room Type,Address,Rent Type,Area,Living Space,Rent,Moving In,Queue Days,Floor
Corridor room,Emmylundsvägen 1 / 1612,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/1,90 (1st),6
Corridor room,Emmylundsvägen 1 / 1714,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 257 SEK,2025/9/1,90 (2st),7
1 room & kitchenette,Emmylundsvägen 5 / 1508,,Pax,22 m²,5 151 SEK,2025/9/1,620 (4st),5
Corridor room,Kungshamra 71 / 1021,10 mån hyra | Electricity included | Max 4 years,Kungshamra,19 m²,4 810 SEK,2025/9/1,90 (5st),GF
1 room & kitchenette,Kungshamra  3 / 1028,,Kungshamra,23 m²,5 296 SEK,2025/10/1,693 (2st),GF
1 room & kitchenette,Kungshamra  3 / 1229,,Kungshamra,23 m²,5 296 SEK,2025/10/1,408 (4st),2
1 room & kitchenette,Kungshamra  3 / 1221,,Kungshamra,23 m²,5 296 SEK,2025/10/1,408 (6st),2
,,,,,,,,
,,,,,,,,
1 room & kitchenette,Kungshamra 82 / 1306,,Kungshamra,23 m²,5 291 SEK,2025/10/1,384 (7st),3
1 room & kitchenette,Kungshamra 83 / 1115,,Kungshamra,23 m²,5 220 SEK,2025/10/1,408 (6st),1
2 rooms & kitchen,Professorsslingan 47 / 1002,,Lappkärrsberget,48 m²,12 380 SEK,2025/9/1,566 (1st),GF
Corridor room,Forskarbacken 17 / 1206,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 318 SEK,2025/9/1,90 (4st),GF
1 room & kitchenette,Norra Stationsgatan 99 / 1227,Electricity included,Idun,19 m²,4 673 SEK,2025/9/1,693 (4st),2
Corridor room,Forskarbacken 17 / 1305,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 318 SEK,2025/9/1,90 (5st),3
Corridor room,Amanuensvägen  3 / 1105,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 806 SEK,2025/9/1,90 (5st),2
Corridor room,Amanuensvägen  3 / 1203,10 mån hyra | Electricity included,Lappkärrsberget,21 m²,4 902 SEK,2025/9/1,90 (6st),3
Corridor room,Professorsslingan 13 / 1108,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 832 SEK,2025/10/1,90 (4st),1
1 room & kitchenette,Forskarbacken 11 / 1108,Electricity included,Lappkärrsberget,18 m²,4 322 SEK,2025/9/1,387 (7st),GF
,,,,,,,,
,,,,,,,,
Corridor room,Forskarbacken 15 / 1206,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 299 SEK,2025/9/1,387 (4st),GF
2 rooms & kitchenette,Studentbacken 23 / 1616,Electricity included,Jerum,35 m²,6 027 SEK,2025/9/1,773 (1st),6
1 room & kitchenette,Norra Stationsgatan 99 / 1338,Electricity included,Idun,18 m²,4 221 SEK,2025/9/1,626 (8st),3
1 room & kitchenette,Norra Stationsgatan 99 / 1453,Electricity included,Idun,20 m²,4 795 SEK,2025/9/1,626 (7st),4
Corridor room,Armégatan 32 A / 1310,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (2st),3
Corridor room,Armégatan 32 A / 1520,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (2st),5
Corridor room,Emmylundsvägen 1 / 1310,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/16,90 (2st),3
1 room & kitchenette,Kungshamra 82 / 1117,,Kungshamra,23 m²,5 291 SEK,2025/9/16,693 (3st),1
Corridor room,Forskarbacken  9 / 1202,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 515 SEK,2025/9/16,90 (4st),2
Corridor room,Emmylundsvägen 3 / 1703,10 mån hyra | Electricity included | Max 4 years,Pax,17 m²,4 262 SEK,2025/8/16,90 (3st),7
,,,,,,,,
,,,,,,,,
Corridor room,Armégatan 32 A / 1901,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (3st),9
